artist,gender,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,artistRole,title,medium,creditLine,year,acquisitionYear,width,height,units,thumbnailUrl,artwork_url,artist_url,medium_normalized,name_normalized
"Wharncliffe, Lady",Female,1776,1853,,,artist,[title not known],Graphite on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,212,163,mm,http://www.tate.org.uk/art/images/work/T/T10/T10911_8.jpg,http://www.tate.org.uk/art/artworks/wharncliffe-title-not-known-t10911,http://www.tate.org.uk/art/artists/lady-wharncliffe-nee-lady-caroline-mary-elizabeth-creighton-2576,Graphite,Lady Wharncliffe
"Wharncliffe, Lady",Female,1776,1853,,,artist,[title not known],Graphite on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,217,171,mm,http://www.tate.org.uk/art/images/work/T/T10/T10912_8.jpg,http://www.tate.org.uk/art/artworks/wharncliffe-title-not-known-t10912,http://www.tate.org.uk/art/artists/lady-wharncliffe-nee-lady-caroline-mary-elizabeth-creighton-2576,Graphite,Lady Wharncliffe
"Almeida, Helena",Female,1934,,"Lisboa, Portugal",,artist,Drawing (with pigment),Ink and pastel on paper,Purchased with funds provided by the 2011 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2012,1995,2012,294,208,mm,http://www.tate.org.uk/art/images/work/T/T13/T13478_8.jpg,http://www.tate.org.uk/art/artworks/almeida-drawing-with-pigment-t13478,http://www.tate.org.uk/art/artists/helena-almeida-12989,Ink,Helena Almeida
"Almeida, Helena",Female,1934,,"Lisboa, Portugal",,artist,Drawing (with pigment),Ink and pastel on paper,Purchased with funds provided by the 2011 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2012,1995,2012,294,208,mm,http://www.tate.org.uk/art/images/work/T/T13/T13479_8.jpg,http://www.tate.org.uk/art/artworks/almeida-drawing-with-pigment-t13479,http://www.tate.org.uk/art/artists/helena-almeida-12989,Ink,Helena Almeida
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known],Graphite and chalk on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,280,190,mm,http://www.tate.org.uk/art/images/work/T/T09/T09787_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-t09787,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known] Verso: Sketch,Graphite on paper. Verso: graphite on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,207,157,mm,http://www.tate.org.uk/art/images/work/T/T09/T09788_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-verso-sketch-t09788,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known],Graphite and chalk on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,188,228,mm,http://www.tate.org.uk/art/images/work/T/T09/T09790_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-t09790,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known],Graphite and chalk on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,137,98,mm,http://www.tate.org.uk/art/images/work/T/T09/T09791_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-t09791,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known],Graphite on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,125,92,mm,http://www.tate.org.uk/art/images/work/T/T09/T09793_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-t09793,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known],Graphite and chalk on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,364,260,mm,http://www.tate.org.uk/art/images/work/T/T09/T09797_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-t09797,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
